State,length,weight,lake
SD,153,27,4
SD,153,28,4
SD,153,30,4
SD,153,31,4
SD,154,30,4
SD,157,30,4
SD,159,33,4
SD,161,35,4
SD,162,31,4
SD,162,35,4
SD,164,36,4
SD,165,41,4
SD,171,37,4
SD,172,38,4
SD,191,67,4
SD,273,197,4
SD,279,186,4
SD,285,209,4
SD,293,232,4
SD,297,216,4
SD,297,220,4
SD,297,247,4
SD,297,289,4
SD,298,239,4
SD,298,242,4
SD,299,240,4
SD,300,220,4
SD,300,254,4
SD,300,280,4
SD,301,236,4
SD,301,253,4
SD,302,251,4
SD,302,254,4
SD,302,254,4
SD,302,274,4
SD,303,251,4
SD,303,255,4
SD,305,261,4
SD,305,266,4
SD,306,260,4
SD,306,301,4
SD,307,262,4
SD,310,256,4
SD,310,259,4
SD,310,288,4
SD,311,278,4
SD,311,290,4
SD,312,270,4
SD,312,273,4
SD,312,285,4
SD,314,270,4
SD,314,281,4
SD,315,264,4
SD,315,279,4
SD,316,285,4
SD,316,292,4
SD,317,305,4
SD,317,310,4
SD,317,312,4
SD,318,295,4
SD,318,326,4
SD,319,282,4
SD,319,287,4
SD,320,307,4
SD,320,343,4
SD,321,303,4
SD,321,316,4
SD,322,349,4
SD,322,356,4
SD,323,312,4
SD,323,336,4
SD,323,344,4
SD,324,293,4
SD,324,337,4
SD,325,331,4
SD,325,332,4
SD,326,295,4
SD,326,311,4
SD,326,312,4
SD,326,335,4
SD,327,319,4
SD,327,327,4
SD,328,312,4
SD,328,329,4
SD,329,322,4
SD,329,356,4
SD,330,309,4
SD,330,324,4
SD,330,326,4
SD,330,329,4
SD,331,342,4
SD,333,330,4
SD,333,383,4
SD,334,326,4
SD,334,363,4
